Name,ID,Yield_2+2,Yield_CO_1.5h,Yield_CO_7.5h,Yield_CO_biphenyl,Yield_CO_ortho,Yield_CO_Cl,Yield_CS,Yield_CN
C_152,OPS81,0,0,0,9,7,4,0,1
C_337,OPS82,0,0,1,6,0,2,0,23
C_498,OPS83,0,0,2,2,0,0,5,18
phenylfluorone,OPS84,0,0,0,0,0,0,0,0
resorufin,OPS85,0,0,0,0,0,1,0,0
9_fluorenone,OPS86,2,0,0,6,3,15,0,6
9_10_phenanthrenequinone,OPS87,0,0,0,20,4,0,0,0
BTPM,OPS88,0,0,0,16,4,2,0,2
2_Cl_TXO,OPS89,1,0,51,35,16,20,0,7
anthraquinone,OPS90,0,0,0,1,5,0,0,0
Me_bodipy,OPS91,0,0,0,0,0,0,4,1
Et_bodipy,OPS92,0,0,0,2,0,0,3,1
CN_bodipy,OPS93,0,0,0,0,0,0,0,0
TPP+,OPS94,1,0,0,2,0,0,0,1
Me_TPP+,OPS95,2,0,0,3,11,0,0,0
OMe_TPP+,OPS96,2,0,0,4,7,1,0,0
Acr+,OPS97,2,0,0,11,10,0,0,1
Acr+_Ph,OPS98,2,0,0,5,4,0,0,1
Acr+_Mes,OPS99,1,0,0,0,0,0,0,0
3_6_tBu_10_ph_Acr+_Mes,OPS100,2,0,0,0,0,0,0,0
