Name,ID,HOMO,E_S1,f_S1,E_T1,dEST,dDM,P(dDM) * P(E_S1),P(dEST) * P(f_S1),P(E_S1) + P(f_S1),P(f_S1) - P(HOMO),P(HOMO) / P(f_S1),P(dDM) / P(E_S1),Reaction_CS,Reaction_CN,Reaction_2+2,Reaction_iso,Yield
Ph_NDI,OPS78,-0.25262,3.8271,0.7675,2.544,1.2831,0,0.06975,0.6486,1.62,0.6,0.130434783,0.080645161,1,0,0,0,0
Me_TAPB,OPS79,-0.17326,4.3833,0.0682,3.4449,0.9384,0.1445,0.2,0.2268,1.27,-0.6,3.222222222,0.2,1,0,0,0,0
Ph_TAPB,OPS80,-0.17898,3.9438,1.3806,3.285,0.6588,0.3333,0.245,0.686,1.96,0.19,0.806122449,0.255102041,1,0,0,0,0
C_152,OPS81,-0.20751,3.7816,0.7682,2.6801,1.1015,6.0354,0.6942,0.609,1.59,0.46,0.342857143,0.876404494,1,0,0,0,0
C_337,OPS82,-0.20649,3.5379,1.1187,2.4312,1.1067,5.8756,0.4875,0.7565,1.5,0.58,0.317647059,1.153846154,1,0,0,0,0
C_498,OPS83,-0.20665,3.6474,1.017,2.5708,1.0766,6.1394,0.6399,0.7138,1.64,0.57,0.313253012,0.975308642,1,0,0,0,5
phenylfluorone,OPS84,-0.19595,3.3306,1.1776,1.9477,1.3829,1.398,0.1702,0.891,1.36,0.44,0.511111111,0.804347826,1,0,0,0,0
resorufin,OPS85,-0.21805,3.2432,0.9273,1.911,1.3322,2.1591,0.161,0.7644,1.13,0.61,0.217948718,1.314285714,1,0,0,0,0
9_fluorenone,OPS86,-0.2289,3.3452,0,2.9589,0.3863,2.4829,0.24205,0.0186,0.53,-0.06,2,1.095744681,1,0,0,0,0
9_10_phenanthrenequinone,OPS87,-0.24277,2.5098,0,2.113,0.3968,1.2118,0.0033,0.0204,0.07,-0.05,1.833333333,33,1,0,0,0,0
BTPM,OPS88,-0.24919,3.7116,0.0017,3.2585,0.4531,0.7389,0.2268,0.0624,1,0.06,0.625,0.321428571,1,0,0,0,0
2ClTX,OPS89,-0.22351,3.8152,0,3.1183,0.6969,2.7235,0.4914,0.0462,0.97,-0.1,2.666666667,0.593406593,1,0,0,0,0
anthraquinone,OPS90,-0.25708,3.2605,0,2.885,0.3755,0,0.0285,0.0174,0.44,-0.02,1.333333333,0.197368421,1,0,0,0,0
Me_bodipy,OPS91,-0.19705,3.0735,0.9376,1.7646,1.3089,1.0033,0.0551,0.76,0.99,0.38,0.525,1.526315789,1,0,0,0,4
Et_bodipy,OPS92,-0.19047,2.9757,0.965,1.6996,1.2761,1.0972,0.027,0.7626,0.91,0.27,0.670731707,3.333333333,1,0,0,0,3
CN_bodipy,OPS93,-0.20579,2.7287,0.9114,1.2362,1.4925,1.9303,0.0176,0.77,0.81,0.46,0.402597403,11,1,0,0,0,0
TPP+,OPS94,-0.35572,3.3873,0.7073,2.6833,0.704,4.4551,0.315,0.5304,1.18,0.65,0.044117647,1.26,1,0,0,0,0
Me_TPP+,OPS95,-0.33934,3.2455,0.7821,2.5927,0.6528,5.2009,0.252,0.4968,1.08,0.68,0.055555556,1.944444444,1,0,0,0,0
OMe_TPP+,OPS96,-0.31605,3.0209,0.7688,2.4265,0.5944,6.3845,0.0913,0.4331,0.82,0.64,0.098591549,7.545454545,1,0,0,0,0
Acr+,OPS97,-0.37171,3.488,0.1372,2.3724,1.1156,0.6573,0.1508,0.333,0.95,0.36,0.027027027,0.448275862,1,0,0,0,0
Acr+_Ph,OPS98,-0.36065,3.444,0.1943,2.34,1.104,1.2426,0.189,0.4048,1,0.44,0.043478261,0.648148148,1,0,0,0,0
Acr+_Mes,OPS99,-0.33825,3.0716,0.0001,2.3388,0.7328,1.2019,0.0576,0.09875,0.305,0.075,0.4,1.777777778,1,0,0,0,0
3_6_tBu_10_ph_Acr+_Mes,OPS100,-0.32707,3.2876,0,2.4683,0.8193,1.2485,0.1476,0.0492,0.47,0,1,0.87804878,1,0,0,0,0
4CzIPN,OPS1,-0.20639,3.262,0.185,3.033,0.229,4.7544,0.2574,0.044,0.83,0.16,0.636363636,1.692307692,0,1,0,0,95
4tBuCzIPN,OPS2,-0.19621,3.1887,0.1207,2.9803,0.2084,6.4563,0.2436,0.0224,0.61,-0.13,1.40625,2.896551724,0,1,0,0,98
4MeCzIPN,OPS3,-0.19686,3.1729,0.1881,2.9538,0.2191,5.2836,0.1988,0.036,0.73,0.015,0.966666667,2.535714286,0,1,0,0,97
4BrCzIPN,OPS4,-0.2236,3.1927,0.1235,3.0271,0.1656,6.287,0.243,0.0132,0.63,0.18,0.454545455,2.7,0,1,0,0,10
4OMeCzIPN,OPS5,-0.1854,3.0441,0.1658,2.8555,0.1886,6.3647,0.123,0.0205,0.56,-0.25,1.609756098,5.466666667,0,1,0,0,33
4PhCzIPN,OPS6,-0.19569,3.1279,0.0199,3.0439,0.084,10.3465,0.2325,0.0021,0.46,-0.26,2.238095238,3.72,0,1,0,0,71
4DPAIPN,OPS7,-0.19312,3.1324,0.1749,2.7578,0.3746,5.8383,0.1924,0.1176,0.68,-0.06,1.142857143,2.846153846,0,1,0,0,95
4tBuDPAIPN,OPS8,-0.18604,3.0323,0.1249,2.7092,0.3231,6.9916,0.119,0.0663,0.48,-0.29,1.852941176,6.071428571,0,1,0,0,28
4MeDPAIPN,OPS9,-0.17956,3.0266,0.2025,2.7414,0.2852,5.4777,0.0936,0.0672,0.61,-0.3,1.625,5.538461538,0,1,0,0,39
4FDPAIPN,OPS10,-0.19846,3.0458,0.1753,2.6241,0.4217,2.7916,0.088,0.1548,0.59,0.03,0.930232558,3.4375,0,1,0,0,80
4ClDPAIPN,OPS11,-0.21058,3.0915,0.2171,2.8025,0.289,4.8527,0.1428,0.0784,0.7,0.27,0.448979592,3.238095238,0,1,0,0,98
4BrDPAIPN,OPS12,-0.21247,3.0949,0.1964,2.7429,0.352,5.9765,0.1672,0.1081,0.69,0.26,0.446808511,3.454545455,0,1,0,0,97
3CzClIPN,OPS13,-0.21353,3.197,0.1616,3.0508,0.1462,1.698,0.1376,0.012,0.72,0.2,0.5,1.34375,0,1,0,0,50
3tBuCzClIPN,OPS14,-0.20437,3.2311,0.1443,2.9647,0.2664,5.5488,0.2482,0.0456,0.72,0.05,0.868421053,2.147058824,0,1,0,0,76
3OMeCzClIPN,OPS15,-0.19139,3.0702,0.15,2.816,0.2542,6.1678,0.136,0.0429,0.56,-0.11,1.282051282,4.705882353,0,1,0,0,35
4CzPN,OPS16,-0.20875,3.3208,0.0603,2.9977,0.3231,8.1375,0.3872,0.04875,0.69,0.02,0.92,2,0,1,0,0,63
4DPAPN,OPS17,-0.19091,3.1116,0.0363,2.7239,0.3877,7.1007,0.2064,0.0768,0.48,-0.27,2.125,3.583333333,0,1,0,0,49
4CzTPN,OPS18,-0.20627,3.083,0.2632,2.86,0.223,0.0023,0.03,0.0495,0.75,0.26,0.527272727,0.75,0,1,0,0,10
4DPATPN,OPS19,-0.18716,2.8199,0.2384,2.4316,0.3883,1.1653,0.0155,0.1716,0.57,-0.09,1.173076923,6.2,0,1,0,0,98
1CzTRZ,OPS20,-0.19896,3.8438,0.8106,3.3406,0.5032,10.618,0.893,0.3182,1.68,0.35,0.527027027,1.010638298,0,1,0,0,7
1tBuCzTRZ,OPS21,-0.19256,3.7237,0.8453,3.262,0.4617,12.6968,0.86,0.3,1.61,0.26,0.653333333,1.162790698,0,1,0,0,92
1DPATRZ,OPS22,-0.18787,3.5635,1.1287,2.9505,0.613,10.481,0.658,0.5655,1.57,0.29,0.666666667,1.342857143,0,1,0,0,99
1tBuDPATRZ,OPS23,-0.18284,3.4961,1.167,2.896,0.6001,11.4943,0.5978,0.5544,1.49,0.16,0.818181818,1.606557377,0,1,0,0,82
1ClDPATRZ,OPS24,-0.19729,3.6168,1.114,3.022,0.5948,10.0814,0.69,0.5208,1.59,0.43,0.488095238,1.226666667,0,1,0,0,99
1BrDPATRZ,OPS25,-0.19686,3.6164,1.1245,3.0295,0.5869,9.9429,0.6734,0.516,1.6,0.425,0.505813953,1.22972973,0,1,0,0,97
1OMeDPATRZ,OPS26,-0.17664,3.4627,1.1816,2.8529,0.6098,11.8605,0.5643,0.5824,1.48,0.07,0.923076923,1.736842105,0,1,0,0,4
1PhDPATRZ,OPS27,-0.18459,3.4584,1.2285,2.9161,0.5423,10.9955,0.5432,0.4655,1.51,0.28,0.705263158,1.732142857,0,1,0,0,85
1PTZTRZ,OPS28,-0.18237,3.552,0.0001,3.4653,0.0867,8.0495,0.5829,0.0025,0.795,-0.605,5.84,1.298507463,0,1,0,0,16
2CzBP,OPS29,-0.20318,3.7099,0.0185,3.2,0.5099,0.1285,0.1494,0.09,1.03,-0.14,1.7,0.21686747,0,1,0,0,2
2DMABP,OPS30,-0.18839,3.8921,0.0113,3.2177,0.6744,1.3981,0.3686,0.1406,1.16,-0.38,3,0.391752577,0,1,0,0,2
2DPABP,OPS31,-0.18647,3.6117,1.1705,3.0476,0.5641,2.221,0.3456,0.4717,1.61,0.27,0.696629213,0.666666667,0,1,0,0,99
2tBuDPABP,OPS32,-0.18033,3.5525,1.2289,3.0124,0.5401,2.6577,0.3604,0.4608,1.64,0.2,0.791666667,0.779411765,0,1,0,0,99
2MeDPABP,OPS33,-0.18065,3.5628,1.2249,3.0017,0.5611,2.8512,0.3864,0.4794,1.63,0.19,0.79787234,0.811594203,0,1,0,0,97
2ClDPABP,OPS34,-0.19983,3.6407,1.1958,3.0588,0.5819,2.2934,0.392,0.5428,1.72,0.55,0.402173913,0.6125,0,1,0,0,99
2BrDPABP,OPS35,-0.19934,3.6355,1.2161,3.061,0.5745,2.2171,0.3619,0.5301,1.7,0.55,0.408602151,0.61038961,0,1,0,0,99
2PhDPABP,OPS36,-0.18364,3.4923,1.3807,3.0058,0.4865,2.4829,0.309,0.4158,1.59,0.28,0.717171717,0.858333333,0,1,0,0,99
2CzPN,OPS37,-0.21407,3.5246,0.1345,3.1201,0.4045,8.9235,0.5518,0.126,0.98,0.17,0.527777778,1.435483871,0,1,0,0,55
2tBuCzPN,OPS38,-0.20513,3.3855,0.1164,3.0249,0.3606,10.6589,0.4704,0.072,0.79,-0.02,1.066666667,1.959183673,0,1,0,0,99
2ClCzPN,OPS39,-0.22798,3.5473,0.1024,3.1826,0.3647,9.5656,0.594,0.0754,0.95,0.16,0.448275862,1.363636364,0,1,0,0,23
1tBuDPAN,OPS40,-0.17692,3.7082,0.2172,3.0394,0.6688,3.7692,0.5002,0.36,1.32,-0.33,1.66,0.743902439,0,1,0,0,1
PNZN,OPS41,-0.17142,3.5257,0,3.3342,0.1915,0.2419,0.1449,0.0036,0.69,-0.84,15,0.365079365,0,1,0,0,2
biphenylPNZN,OPS42,-0.17067,3.4578,0.0005,2.9913,0.4665,2.335,0.275,0.0615,0.7,-0.76,6.066666667,0.909090909,0,1,0,0,43
PTZN,OPS43,-0.17982,3.76,0.0003,3.3275,0.4325,0.14,0.1653,0.0518,1.01,-0.63,5.5,0.218390805,0,1,0,0,1
biphenylPTZN,OPS44,-0.17757,3.6231,0.4335,3.118,0.5051,1.4197,0.304,0.2948,1.43,-0.14,1.208955224,0.526315789,0,1,0,0,50
CF3PTZN,OPS45,-0.18961,3.6146,0.3629,3.1037,0.5109,2.0169,0.3285,0.2852,1.35,0.06,0.903225806,0.616438356,0,1,0,0,19
2DPAB,OPS46,-0.16958,3.8658,0.0227,3.291,0.5748,0,0.07125,0.1276,1.17,-0.71,4.227272727,0.078947368,0,1,0,0,1
2DPAN,OPS47,-0.17654,3.4914,0.4022,2.8244,0.667,1.3985,0.2301,0.4615,1.24,-0.2,1.307692308,0.661016949,0,1,0,0,2
2tBuDPAN,OPS48,-0.17028,3.4103,0.4193,2.784,0.6263,1.6284,0.2091,0.4422,1.17,-0.26,1.393939394,0.803921569,0,1,0,0,9
2MeDPAN,OPS49,-0.16909,3.3744,0.4004,2.7522,0.6222,1.6649,0.2016,0.4224,1.12,-0.3,1.46875,0.875,0,1,0,0,7
2DPAA,OPS50,-0.17836,2.9725,0.2857,2.1241,0.8484,0,0.006,0.4897,0.67,-0.21,1.355932203,0.9375,0,1,0,0,2
2tBuDPAA,OPS51,-0.17252,2.8792,0.2813,2.1027,0.7765,0.0152,0.0119,0.4698,0.65,-0.3,1.517241379,2.428571429,0,1,0,0,1
2MeDPAA,OPS52,-0.17204,2.8733,0.2734,2.1007,0.7726,0.0098,0.0096,0.448,0.62,-0.33,1.589285714,2.666666667,0,1,0,0,2
2OMeDPAA,OPS53,-0.16348,2.7205,0.254,2.0389,0.6816,0,0.00225,0.405,0.57,-0.43,1.796296296,2.5,0,1,0,0,2
3CzNB,OPS54,-0.20716,3.4177,0.0669,3.0551,0.3626,1.2401,0.1802,0.065,0.79,0.01,0.961538462,0.641509434,0,1,0,0,0
3DPANB,OPS55,-0.18594,3.1973,0.0899,2.9176,0.2797,4.1276,0.2046,0.0364,0.61,-0.36,2.285714286,1.878787879,0,1,0,0,16
3MeDPANB,OPS56,-0.17746,3.1371,0.1188,2.832,0.3051,4.7899,0.1809,0.0527,0.58,-0.51,2.64516129,2.481481481,0,1,0,0,8
3BrDPANB,OPS57,-0.20296,3.2471,0.1278,2.8964,0.3507,4.726,0.2405,0.077,0.72,0,1,1.756756757,0,1,0,0,5
2CzAQ,OPS58,-0.20593,3.1012,0,2.7358,0.3654,0,0.01725,0.0162,0.29,-0.24,5,0.326086957,0,1,0,0,0
2DPAAQ,OPS59,-0.19071,2.9778,0,2.4274,0.5504,0,0.0075,0.03,0.16,-0.46,8.666666667,0.75,0,1,0,0,0
2DPASF,OPS60,-0.19054,3.8676,0.907,3.2936,0.574,3.101,0.5568,0.4256,1.72,0.22,0.710526316,0.604166667,0,1,0,0,2
2tBuDPASF,OPS61,-0.18418,3.8148,0.9369,3.2521,0.5627,3.499,0.54,0.4108,1.69,0.1,0.873417722,0.666666667,0,1,0,0,2
2MeDPASF,OPS62,-0.18439,3.8224,0.9468,3.2533,0.5691,3.442,0.5428,0.4455,1.73,0.13,0.839506173,0.641304348,0,1,0,0,4
CF3PhDPZ,OPS63,-0.1619,3.3175,0,2.9345,0.383,0,0.03225,0.018,0.49,-0.92,16.33333333,0.174418605,0,1,0,0,9
OMePhDPZ,OPS64,-0.14485,3.4138,0,2.897,0.5168,0,0.039,0.0282,0.58,-0.94,16.66666667,0.144230769,0,1,0,0,4
NapDPZ,OPS65,-0.15201,3.3012,0,2.9882,0.313,0.1586,0.0924,0.0108,0.48,-0.93,16.5,0.523809524,0,1,0,0,8
3DPA2FBN,OPS66,-0.18763,3.3289,0.2519,2.9793,0.3496,3.0925,0.2565,0.1113,0.98,-0.06,1.113207547,1.266666667,0,1,0,0,87
5CzBN,OPS67,-0.20063,3.5356,0.2762,3.2477,0.2879,5.0308,0.4416,0.0855,1.21,0.21,0.631578947,1.078125,0,1,0,0,99
