Name,ID,HOMO,E_S1,f_S1,E_T1,dEST,dDM,Reaction_CO_Cl,Reaction_CS,Reaction_CN,Reaction_2+2,Yield
2tBuCzPN,OPS38,-0.20513,3.3855,0.1164,3.0249,0.3606,10.6589,1,0,0,0,37
2ClCzPN,OPS39,-0.22798,3.5473,0.1024,3.1826,0.3647,9.5656,1,0,0,0,30
1tBuDPAN,OPS40,-0.17692,3.7082,0.2172,3.0394,0.6688,3.7692,1,0,0,0,9
PNZN,OPS41,-0.17142,3.5257,0,3.3342,0.1915,0.2419,1,0,0,0,9
biphenylPNZN,OPS42,-0.17067,3.4578,0.0005,2.9913,0.4665,2.335,1,0,0,0,18
PTZN,OPS43,-0.17982,3.76,0.0003,3.3275,0.4325,0.14,1,0,0,0,18
biphenylPTZN,OPS44,-0.17757,3.6231,0.4335,3.118,0.5051,1.4197,1,0,0,0,14
CF3PTZN,OPS45,-0.18961,3.6146,0.3629,3.1037,0.5109,2.0169,1,0,0,0,21
2DPAB,OPS46,-0.16958,3.8658,0.0227,3.291,0.5748,0,1,0,0,0,15
2DPAN,OPS47,-0.17654,3.4914,0.4022,2.8244,0.667,1.3985,1,0,0,0,24
2tBuDPAN,OPS48,-0.17028,3.4103,0.4193,2.784,0.6263,1.6284,1,0,0,0,22
2MeDPAN,OPS49,-0.16909,3.3744,0.4004,2.7522,0.6222,1.6649,1,0,0,0,12
2DPAA,OPS50,-0.17836,2.9725,0.2857,2.1241,0.8484,0,1,0,0,0,43
2tBuDPAA,OPS51,-0.17252,2.8792,0.2813,2.1027,0.7765,0.0152,1,0,0,0,28
2MeDPAA,OPS52,-0.17204,2.8733,0.2734,2.1007,0.7726,0.0098,1,0,0,0,34
2OMeDPAA,OPS53,-0.16348,2.7205,0.254,2.0389,0.6816,0,1,0,0,0,1
3CzNB,OPS54,-0.20716,3.4177,0.0669,3.0551,0.3626,1.2401,1,0,0,0,0
3DPANB,OPS55,-0.18594,3.1973,0.0899,2.9176,0.2797,4.1276,1,0,0,0,0
3MeDPANB,OPS56,-0.17746,3.1371,0.1188,2.832,0.3051,4.7899,1,0,0,0,0
3BrDPANB,OPS57,-0.20296,3.2471,0.1278,2.8964,0.3507,4.726,1,0,0,0,9
2CzAQ,OPS58,-0.20593,3.1012,0,2.7358,0.3654,0,1,0,0,0,0
2DPAAQ,OPS59,-0.19071,2.9778,0,2.4274,0.5504,0,1,0,0,0,0
2DPASF,OPS60,-0.19054,3.8676,0.907,3.2936,0.574,3.101,1,0,0,0,0
2tBuDPASF,OPS61,-0.18418,3.8148,0.9369,3.2521,0.5627,3.499,1,0,0,0,21
2MeDPASF,OPS62,-0.18439,3.8224,0.9468,3.2533,0.5691,3.442,1,0,0,0,13
CF3PhDPZ,OPS63,-0.1619,3.3175,0,2.9345,0.383,0,1,0,0,0,3
OMePhDPZ,OPS64,-0.14485,3.4138,0,2.897,0.5168,0,1,0,0,0,0
NapDPZ,OPS65,-0.15201,3.3012,0,2.9882,0.313,0.1586,1,0,0,0,0
3DPA2FBN,OPS66,-0.18763,3.3289,0.2519,2.9793,0.3496,3.0925,1,0,0,0,46
5CzBN,OPS67,-0.20063,3.5356,0.2762,3.2477,0.2879,5.0308,1,0,0,0,54
2DPABz,OPS68,-0.19069,3.0227,0.0037,2.5871,0.4356,0.1528,1,0,0,0,24
DPABT,OPS69,-0.18556,3.5717,1.3009,2.8871,0.6846,6.0169,1,0,0,0,21
PhPNZ,OPS70,-0.16899,3.9776,0.035,3.3033,0.6743,0.8448,1,0,0,0,10
PhPTZ,OPS71,-0.16887,3.713,0.0109,3.1473,0.5657,0.3078,1,0,0,0,22
ph_bPTZ,OPS72,-0.17426,3.7625,0.223,3.1359,0.6266,4.6753,1,0,0,0,40
9_10_DPA,OPS73,-0.1872,3.639,0.3496,2.3196,1.3194,0,1,0,0,0,7
9_10_DAA,OPS74,-0.18384,3.6356,0.3763,2.318,1.3176,0,1,0,0,0,12
perylene,OPS75,-0.18188,3.196,0.791,2.0783,1.1177,0,1,0,0,0,19
9_10_DCA,OPS76,-0.22657,3.2747,0.3366,2.003,1.2717,0,1,0,0,0,2
3_5_diMePh_PDI,OPS77,-0.21763,2.7184,1.4659,1.7085,1.0099,0,1,0,0,0,0
Ph_NDI,OPS78,-0.25262,3.8271,0.7675,2.544,1.2831,0,1,0,0,0,0
Me_TAPB,OPS79,-0.17326,4.3833,0.0682,3.4449,0.9384,0.1445,1,0,0,0,5
Ph_TAPB,OPS80,-0.17898,3.9438,1.3806,3.285,0.6588,0.3333,1,0,0,0,17
C_152,OPS81,-0.20751,3.7816,0.7682,2.6801,1.1015,6.0354,1,0,0,0,4
C_337,OPS82,-0.20649,3.5379,1.1187,2.4312,1.1067,5.8756,1,0,0,0,2
C_498,OPS83,-0.20665,3.6474,1.017,2.5708,1.0766,6.1394,1,0,0,0,0
phenylfluorone,OPS84,-0.19595,3.3306,1.1776,1.9477,1.3829,1.398,1,0,0,0,0
resorufin,OPS85,-0.21805,3.2432,0.9273,1.911,1.3322,2.1591,1,0,0,0,1
9_fluorenone,OPS86,-0.2289,3.3452,0,2.9589,0.3863,2.4829,1,0,0,0,15
9_10_phenanthrenequinone,OPS87,-0.24277,2.5098,0,2.113,0.3968,1.2118,1,0,0,0,0
BTPM,OPS88,-0.24919,3.7116,0.0017,3.2585,0.4531,0.7389,1,0,0,0,2
2ClTX,OPS89,-0.22351,3.8152,0,3.1183,0.6969,2.7235,1,0,0,0,20
anthraquinone,OPS90,-0.25708,3.2605,0,2.885,0.3755,0,1,0,0,0,0
Me_bodipy,OPS91,-0.19705,3.0735,0.9376,1.7646,1.3089,1.0033,1,0,0,0,0
Et_bodipy,OPS92,-0.19047,2.9757,0.965,1.6996,1.2761,1.0972,1,0,0,0,0
CN_bodipy,OPS93,-0.20579,2.7287,0.9114,1.2362,1.4925,1.9303,1,0,0,0,0
TPP+,OPS94,-0.35572,3.3873,0.7073,2.6833,0.704,4.4551,1,0,0,0,0
Me_TPP+,OPS95,-0.33934,3.2455,0.7821,2.5927,0.6528,5.2009,1,0,0,0,0
OMe_TPP+,OPS96,-0.31605,3.0209,0.7688,2.4265,0.5944,6.3845,1,0,0,0,1
Acr+,OPS97,-0.37171,3.488,0.1372,2.3724,1.1156,0.6573,1,0,0,0,0
Acr+_Ph,OPS98,-0.36065,3.444,0.1943,2.34,1.104,1.2426,1,0,0,0,0
Acr+_Mes,OPS99,-0.33825,3.0716,0.0001,2.3388,0.7328,1.2019,1,0,0,0,0
3_6_tBu_10_ph_Acr+_Mes,OPS100,-0.32707,3.2876,0,2.4683,0.8193,1.2485,1,0,0,0,0
4CzIPN,OPS1,-0.20639,3.262,0.185,3.033,0.229,4.7544,0,1,0,0,99
4tBuCzIPN,OPS2,-0.19621,3.1887,0.1207,2.9803,0.2084,6.4563,0,1,0,0,45
4MeCzIPN,OPS3,-0.19686,3.1729,0.1881,2.9538,0.2191,5.2836,0,1,0,0,23
4BrCzIPN,OPS4,-0.2236,3.1927,0.1235,3.0271,0.1656,6.287,0,1,0,0,98
4OMeCzIPN,OPS5,-0.1854,3.0441,0.1658,2.8555,0.1886,6.3647,0,1,0,0,0
4PhCzIPN,OPS6,-0.19569,3.1279,0.0199,3.0439,0.084,10.3465,0,1,0,0,36
4DPAIPN,OPS7,-0.19312,3.1324,0.1749,2.7578,0.3746,5.8383,0,1,0,0,98
4tBuDPAIPN,OPS8,-0.18604,3.0323,0.1249,2.7092,0.3231,6.9916,0,1,0,0,98
4MeDPAIPN,OPS9,-0.17956,3.0266,0.2025,2.7414,0.2852,5.4777,0,1,0,0,99
4FDPAIPN,OPS10,-0.19846,3.0458,0.1753,2.6241,0.4217,2.7916,0,1,0,0,97
4ClDPAIPN,OPS11,-0.21058,3.0915,0.2171,2.8025,0.289,4.8527,0,1,0,0,99
4BrDPAIPN,OPS12,-0.21247,3.0949,0.1964,2.7429,0.352,5.9765,0,1,0,0,99
3CzClIPN,OPS13,-0.21353,3.197,0.1616,3.0508,0.1462,1.698,0,1,0,0,63
3tBuCzClIPN,OPS14,-0.20437,3.2311,0.1443,2.9647,0.2664,5.5488,0,1,0,0,56
3OMeCzClIPN,OPS15,-0.19139,3.0702,0.15,2.816,0.2542,6.1678,0,1,0,0,0
4CzPN,OPS16,-0.20875,3.3208,0.0603,2.9977,0.3231,8.1375,0,1,0,0,54
4DPAPN,OPS17,-0.19091,3.1116,0.0363,2.7239,0.3877,7.1007,0,1,0,0,4
4CzTPN,OPS18,-0.20627,3.083,0.2632,2.86,0.223,0.0023,0,1,0,0,9
4DPATPN,OPS19,-0.18716,2.8199,0.2384,2.4316,0.3883,1.1653,0,1,0,0,13
1CzTRZ,OPS20,-0.19896,3.8438,0.8106,3.3406,0.5032,10.618,0,1,0,0,0
1tBuCzTRZ,OPS21,-0.19256,3.7237,0.8453,3.262,0.4617,12.6968,0,1,0,0,95
1DPATRZ,OPS22,-0.18787,3.5635,1.1287,2.9505,0.613,10.481,0,1,0,0,94
1tBuDPATRZ,OPS23,-0.18284,3.4961,1.167,2.896,0.6001,11.4943,0,1,0,0,97
1ClDPATRZ,OPS24,-0.19729,3.6168,1.114,3.022,0.5948,10.0814,0,1,0,0,98
1BrDPATRZ,OPS25,-0.19686,3.6164,1.1245,3.0295,0.5869,9.9429,0,1,0,0,97
1OMeDPATRZ,OPS26,-0.17664,3.4627,1.1816,2.8529,0.6098,11.8605,0,1,0,0,32
1PhDPATRZ,OPS27,-0.18459,3.4584,1.2285,2.9161,0.5423,10.9955,0,1,0,0,97
1PTZTRZ,OPS28,-0.18237,3.552,0.0001,3.4653,0.0867,8.0495,0,1,0,0,11
2CzBP,OPS29,-0.20318,3.7099,0.0185,3.2,0.5099,0.1285,0,1,0,0,0
2DMABP,OPS30,-0.18839,3.8921,0.0113,3.2177,0.6744,1.3981,0,1,0,0,0
2DPABP,OPS31,-0.18647,3.6117,1.1705,3.0476,0.5641,2.221,0,1,0,0,9
2tBuDPABP,OPS32,-0.18033,3.5525,1.2289,3.0124,0.5401,2.6577,0,1,0,0,81
2MeDPABP,OPS33,-0.18065,3.5628,1.2249,3.0017,0.5611,2.8512,0,1,0,0,54
2ClDPABP,OPS34,-0.19983,3.6407,1.1958,3.0588,0.5819,2.2934,0,1,0,0,5
2BrDPABP,OPS35,-0.19934,3.6355,1.2161,3.061,0.5745,2.2171,0,1,0,0,5
2PhDPABP,OPS36,-0.18364,3.4923,1.3807,3.0058,0.4865,2.4829,0,1,0,0,96
2CzPN,OPS37,-0.21407,3.5246,0.1345,3.1201,0.4045,8.9235,0,1,0,0,4
2tBuCzPN,OPS38,-0.20513,3.3855,0.1164,3.0249,0.3606,10.6589,0,1,0,0,10
2ClCzPN,OPS39,-0.22798,3.5473,0.1024,3.1826,0.3647,9.5656,0,1,0,0,3
1tBuDPAN,OPS40,-0.17692,3.7082,0.2172,3.0394,0.6688,3.7692,0,1,0,0,0
PNZN,OPS41,-0.17142,3.5257,0,3.3342,0.1915,0.2419,0,1,0,0,10
biphenylPNZN,OPS42,-0.17067,3.4578,0.0005,2.9913,0.4665,2.335,0,1,0,0,7
PTZN,OPS43,-0.17982,3.76,0.0003,3.3275,0.4325,0.14,0,1,0,0,2
biphenylPTZN,OPS44,-0.17757,3.6231,0.4335,3.118,0.5051,1.4197,0,1,0,0,90
CF3PTZN,OPS45,-0.18961,3.6146,0.3629,3.1037,0.5109,2.0169,0,1,0,0,95
2DPAB,OPS46,-0.16958,3.8658,0.0227,3.291,0.5748,0,0,1,0,0,0
2DPAN,OPS47,-0.17654,3.4914,0.4022,2.8244,0.667,1.3985,0,1,0,0,4
2tBuDPAN,OPS48,-0.17028,3.4103,0.4193,2.784,0.6263,1.6284,0,1,0,0,53
2MeDPAN,OPS49,-0.16909,3.3744,0.4004,2.7522,0.6222,1.6649,0,1,0,0,0
2DPAA,OPS50,-0.17836,2.9725,0.2857,2.1241,0.8484,0,0,1,0,0,2
2tBuDPAA,OPS51,-0.17252,2.8792,0.2813,2.1027,0.7765,0.0152,0,1,0,0,2
2MeDPAA,OPS52,-0.17204,2.8733,0.2734,2.1007,0.7726,0.0098,0,1,0,0,2
2OMeDPAA,OPS53,-0.16348,2.7205,0.254,2.0389,0.6816,0,0,1,0,0,0
3CzNB,OPS54,-0.20716,3.4177,0.0669,3.0551,0.3626,1.2401,0,1,0,0,0
3DPANB,OPS55,-0.18594,3.1973,0.0899,2.9176,0.2797,4.1276,0,1,0,0,0
3MeDPANB,OPS56,-0.17746,3.1371,0.1188,2.832,0.3051,4.7899,0,1,0,0,0
3BrDPANB,OPS57,-0.20296,3.2471,0.1278,2.8964,0.3507,4.726,0,1,0,0,0
2CzAQ,OPS58,-0.20593,3.1012,0,2.7358,0.3654,0,0,1,0,0,0
2DPAAQ,OPS59,-0.19071,2.9778,0,2.4274,0.5504,0,0,1,0,0,0
2DPASF,OPS60,-0.19054,3.8676,0.907,3.2936,0.574,3.101,0,1,0,0,0
2tBuDPASF,OPS61,-0.18418,3.8148,0.9369,3.2521,0.5627,3.499,0,1,0,0,0
2MeDPASF,OPS62,-0.18439,3.8224,0.9468,3.2533,0.5691,3.442,0,1,0,0,0
CF3PhDPZ,OPS63,-0.1619,3.3175,0,2.9345,0.383,0,0,1,0,0,2
OMePhDPZ,OPS64,-0.14485,3.4138,0,2.897,0.5168,0,0,1,0,0,0
NapDPZ,OPS65,-0.15201,3.3012,0,2.9882,0.313,0.1586,0,1,0,0,0
3DPA2FBN,OPS66,-0.18763,3.3289,0.2519,2.9793,0.3496,3.0925,0,1,0,0,5
5CzBN,OPS67,-0.20063,3.5356,0.2762,3.2477,0.2879,5.0308,0,1,0,0,17
2DPABz,OPS68,-0.19069,3.0227,0.0037,2.5871,0.4356,0.1528,0,1,0,0,0
DPABT,OPS69,-0.18556,3.5717,1.3009,2.8871,0.6846,6.0169,0,1,0,0,0
PhPNZ,OPS70,-0.16899,3.9776,0.035,3.3033,0.6743,0.8448,0,1,0,0,0
PhPTZ,OPS71,-0.16887,3.713,0.0109,3.1473,0.5657,0.3078,0,1,0,0,0
ph_bPTZ,OPS72,-0.17426,3.7625,0.223,3.1359,0.6266,4.6753,0,1,0,0,59
9_10_DPA,OPS73,-0.1872,3.639,0.3496,2.3196,1.3194,0,0,1,0,0,0
9_10_DAA,OPS74,-0.18384,3.6356,0.3763,2.318,1.3176,0,0,1,0,0,0
perylene,OPS75,-0.18188,3.196,0.791,2.0783,1.1177,0,0,1,0,0,94
9_10_DCA,OPS76,-0.22657,3.2747,0.3366,2.003,1.2717,0,0,1,0,0,0
3_5_diMePh_PDI,OPS77,-0.21763,2.7184,1.4659,1.7085,1.0099,0,0,1,0,0,0
Ph_NDI,OPS78,-0.25262,3.8271,0.7675,2.544,1.2831,0,0,1,0,0,0
Me_TAPB,OPS79,-0.17326,4.3833,0.0682,3.4449,0.9384,0.1445,0,1,0,0,0
Ph_TAPB,OPS80,-0.17898,3.9438,1.3806,3.285,0.6588,0.3333,0,1,0,0,0
C_152,OPS81,-0.20751,3.7816,0.7682,2.6801,1.1015,6.0354,0,1,0,0,0
C_337,OPS82,-0.20649,3.5379,1.1187,2.4312,1.1067,5.8756,0,1,0,0,0
C_498,OPS83,-0.20665,3.6474,1.017,2.5708,1.0766,6.1394,0,1,0,0,5
phenylfluorone,OPS84,-0.19595,3.3306,1.1776,1.9477,1.3829,1.398,0,1,0,0,0
resorufin,OPS85,-0.21805,3.2432,0.9273,1.911,1.3322,2.1591,0,1,0,0,0
9_fluorenone,OPS86,-0.2289,3.3452,0,2.9589,0.3863,2.4829,0,1,0,0,0
9_10_phenanthrenequinone,OPS87,-0.24277,2.5098,0,2.113,0.3968,1.2118,0,1,0,0,0
BTPM,OPS88,-0.24919,3.7116,0.0017,3.2585,0.4531,0.7389,0,1,0,0,0
2ClTX,OPS89,-0.22351,3.8152,0,3.1183,0.6969,2.7235,0,1,0,0,0
anthraquinone,OPS90,-0.25708,3.2605,0,2.885,0.3755,0,0,1,0,0,0
Me_bodipy,OPS91,-0.19705,3.0735,0.9376,1.7646,1.3089,1.0033,0,1,0,0,4
Et_bodipy,OPS92,-0.19047,2.9757,0.965,1.6996,1.2761,1.0972,0,1,0,0,3
CN_bodipy,OPS93,-0.20579,2.7287,0.9114,1.2362,1.4925,1.9303,0,1,0,0,0
TPP+,OPS94,-0.35572,3.3873,0.7073,2.6833,0.704,4.4551,0,1,0,0,0
Me_TPP+,OPS95,-0.33934,3.2455,0.7821,2.5927,0.6528,5.2009,0,1,0,0,0
OMe_TPP+,OPS96,-0.31605,3.0209,0.7688,2.4265,0.5944,6.3845,0,1,0,0,0
Acr+,OPS97,-0.37171,3.488,0.1372,2.3724,1.1156,0.6573,0,1,0,0,0
Acr+_Ph,OPS98,-0.36065,3.444,0.1943,2.34,1.104,1.2426,0,1,0,0,0
Acr+_Mes,OPS99,-0.33825,3.0716,0.0001,2.3388,0.7328,1.2019,0,1,0,0,0
3_6_tBu_10_ph_Acr+_Mes,OPS100,-0.32707,3.2876,0,2.4683,0.8193,1.2485,0,1,0,0,0
4CzIPN,OPS1,-0.20639,3.262,0.185,3.033,0.229,4.7544,0,0,1,0,95
4tBuCzIPN,OPS2,-0.19621,3.1887,0.1207,2.9803,0.2084,6.4563,0,0,1,0,98
4MeCzIPN,OPS3,-0.19686,3.1729,0.1881,2.9538,0.2191,5.2836,0,0,1,0,97
4BrCzIPN,OPS4,-0.2236,3.1927,0.1235,3.0271,0.1656,6.287,0,0,1,0,10
4OMeCzIPN,OPS5,-0.1854,3.0441,0.1658,2.8555,0.1886,6.3647,0,0,1,0,33
4PhCzIPN,OPS6,-0.19569,3.1279,0.0199,3.0439,0.084,10.3465,0,0,1,0,71
4DPAIPN,OPS7,-0.19312,3.1324,0.1749,2.7578,0.3746,5.8383,0,0,1,0,95
4tBuDPAIPN,OPS8,-0.18604,3.0323,0.1249,2.7092,0.3231,6.9916,0,0,1,0,28
4MeDPAIPN,OPS9,-0.17956,3.0266,0.2025,2.7414,0.2852,5.4777,0,0,1,0,39
4FDPAIPN,OPS10,-0.19846,3.0458,0.1753,2.6241,0.4217,2.7916,0,0,1,0,80
4ClDPAIPN,OPS11,-0.21058,3.0915,0.2171,2.8025,0.289,4.8527,0,0,1,0,98
4BrDPAIPN,OPS12,-0.21247,3.0949,0.1964,2.7429,0.352,5.9765,0,0,1,0,97
3CzClIPN,OPS13,-0.21353,3.197,0.1616,3.0508,0.1462,1.698,0,0,1,0,50
3tBuCzClIPN,OPS14,-0.20437,3.2311,0.1443,2.9647,0.2664,5.5488,0,0,1,0,76
3OMeCzClIPN,OPS15,-0.19139,3.0702,0.15,2.816,0.2542,6.1678,0,0,1,0,35
4CzPN,OPS16,-0.20875,3.3208,0.0603,2.9977,0.3231,8.1375,0,0,1,0,63
4DPAPN,OPS17,-0.19091,3.1116,0.0363,2.7239,0.3877,7.1007,0,0,1,0,49
4CzTPN,OPS18,-0.20627,3.083,0.2632,2.86,0.223,0.0023,0,0,1,0,10
4DPATPN,OPS19,-0.18716,2.8199,0.2384,2.4316,0.3883,1.1653,0,0,1,0,98
1CzTRZ,OPS20,-0.19896,3.8438,0.8106,3.3406,0.5032,10.618,0,0,1,0,7
1tBuCzTRZ,OPS21,-0.19256,3.7237,0.8453,3.262,0.4617,12.6968,0,0,1,0,92
1DPATRZ,OPS22,-0.18787,3.5635,1.1287,2.9505,0.613,10.481,0,0,1,0,99
1tBuDPATRZ,OPS23,-0.18284,3.4961,1.167,2.896,0.6001,11.4943,0,0,1,0,82
1ClDPATRZ,OPS24,-0.19729,3.6168,1.114,3.022,0.5948,10.0814,0,0,1,0,99
1BrDPATRZ,OPS25,-0.19686,3.6164,1.1245,3.0295,0.5869,9.9429,0,0,1,0,97
1OMeDPATRZ,OPS26,-0.17664,3.4627,1.1816,2.8529,0.6098,11.8605,0,0,1,0,4
1PhDPATRZ,OPS27,-0.18459,3.4584,1.2285,2.9161,0.5423,10.9955,0,0,1,0,85
1PTZTRZ,OPS28,-0.18237,3.552,0.0001,3.4653,0.0867,8.0495,0,0,1,0,16
2CzBP,OPS29,-0.20318,3.7099,0.0185,3.2,0.5099,0.1285,0,0,1,0,2
2DMABP,OPS30,-0.18839,3.8921,0.0113,3.2177,0.6744,1.3981,0,0,1,0,2
2DPABP,OPS31,-0.18647,3.6117,1.1705,3.0476,0.5641,2.221,0,0,1,0,99
2tBuDPABP,OPS32,-0.18033,3.5525,1.2289,3.0124,0.5401,2.6577,0,0,1,0,99
2MeDPABP,OPS33,-0.18065,3.5628,1.2249,3.0017,0.5611,2.8512,0,0,1,0,97
2ClDPABP,OPS34,-0.19983,3.6407,1.1958,3.0588,0.5819,2.2934,0,0,1,0,99
2BrDPABP,OPS35,-0.19934,3.6355,1.2161,3.061,0.5745,2.2171,0,0,1,0,99
2PhDPABP,OPS36,-0.18364,3.4923,1.3807,3.0058,0.4865,2.4829,0,0,1,0,99
2CzPN,OPS37,-0.21407,3.5246,0.1345,3.1201,0.4045,8.9235,0,0,1,0,55
2tBuCzPN,OPS38,-0.20513,3.3855,0.1164,3.0249,0.3606,10.6589,0,0,1,0,99
2ClCzPN,OPS39,-0.22798,3.5473,0.1024,3.1826,0.3647,9.5656,0,0,1,0,23
1tBuDPAN,OPS40,-0.17692,3.7082,0.2172,3.0394,0.6688,3.7692,0,0,1,0,1
PNZN,OPS41,-0.17142,3.5257,0,3.3342,0.1915,0.2419,0,0,1,0,2
biphenylPNZN,OPS42,-0.17067,3.4578,0.0005,2.9913,0.4665,2.335,0,0,1,0,43
PTZN,OPS43,-0.17982,3.76,0.0003,3.3275,0.4325,0.14,0,0,1,0,1
biphenylPTZN,OPS44,-0.17757,3.6231,0.4335,3.118,0.5051,1.4197,0,0,1,0,50
CF3PTZN,OPS45,-0.18961,3.6146,0.3629,3.1037,0.5109,2.0169,0,0,1,0,19
2DPAB,OPS46,-0.16958,3.8658,0.0227,3.291,0.5748,0,0,0,1,0,1
2DPAN,OPS47,-0.17654,3.4914,0.4022,2.8244,0.667,1.3985,0,0,1,0,2
2tBuDPAN,OPS48,-0.17028,3.4103,0.4193,2.784,0.6263,1.6284,0,0,1,0,9
2MeDPAN,OPS49,-0.16909,3.3744,0.4004,2.7522,0.6222,1.6649,0,0,1,0,7
2DPAA,OPS50,-0.17836,2.9725,0.2857,2.1241,0.8484,0,0,0,1,0,2
2tBuDPAA,OPS51,-0.17252,2.8792,0.2813,2.1027,0.7765,0.0152,0,0,1,0,1
2MeDPAA,OPS52,-0.17204,2.8733,0.2734,2.1007,0.7726,0.0098,0,0,1,0,2
2OMeDPAA,OPS53,-0.16348,2.7205,0.254,2.0389,0.6816,0,0,0,1,0,2
3CzNB,OPS54,-0.20716,3.4177,0.0669,3.0551,0.3626,1.2401,0,0,1,0,0
3DPANB,OPS55,-0.18594,3.1973,0.0899,2.9176,0.2797,4.1276,0,0,1,0,16
3MeDPANB,OPS56,-0.17746,3.1371,0.1188,2.832,0.3051,4.7899,0,0,1,0,8
3BrDPANB,OPS57,-0.20296,3.2471,0.1278,2.8964,0.3507,4.726,0,0,1,0,5
2CzAQ,OPS58,-0.20593,3.1012,0,2.7358,0.3654,0,0,0,1,0,0
2DPAAQ,OPS59,-0.19071,2.9778,0,2.4274,0.5504,0,0,0,1,0,0
2DPASF,OPS60,-0.19054,3.8676,0.907,3.2936,0.574,3.101,0,0,1,0,2
2tBuDPASF,OPS61,-0.18418,3.8148,0.9369,3.2521,0.5627,3.499,0,0,1,0,2
2MeDPASF,OPS62,-0.18439,3.8224,0.9468,3.2533,0.5691,3.442,0,0,1,0,4
