Name,ID,HOMO,LUMO,E_S1,f_S1,E_T1,dDM,P(dDM) * P(E_S1),P(dDM) * P(E_T1),P(dDM) * P(HOMO),P(dDM) + P(HOMO),P(E_T1) - P(f_S1),P(E_S1) / P(E_T1),P(E_T1) / P(f_S1),Reaction_CO_Cl,Reaction_CS,Reaction_CN,Reaction_2+2,Yield
2MeDPASF,OPS62,-0.18439,-0.03949,3.8224,0.9468,3.2533,19.8935,0.874,0.8455,0.646,1.63,0.08,1.033707865,1.098765432,0,0,0,1,0
CF3PhDPZ,OPS63,-0.1619,-0.04155,3.3175,0,2.9345,0,0.0301,0.0371,0.0686,1.05,0.47,0.811320755,8.833333333,0,0,0,1,15
OMePhDPZ,OPS64,-0.14485,-0.01104,3.4138,0,2.897,0,0.0364,0.035,0.07,1.07,0.44,1.04,8.333333333,0,0,0,1,1
NapDPZ,OPS65,-0.15201,-0.04408,3.3012,0,2.9882,0.1154,0.0798,0.114,0.1881,1.18,0.54,0.7,10,0,0,0,1,10
3DPA2FBN,OPS66,-0.18763,-0.0591,3.3289,0.2519,2.9793,3.2092,0.2205,0.2842,0.2891,1.08,0.05,0.775862069,1.094339623,0,0,0,1,65
5CzBN,OPS67,-0.20063,-0.07542,3.5356,0.2762,3.2477,5.6148,0.3776,0.5133,0.2124,0.95,0.3,0.735632184,1.526315789,0,0,0,1,79
2DPABz,OPS68,-0.19069,-0.06958,3.0227,0.0037,2.5871,7.8561,0.0852,0.1846,0.3763,1.24,0.09,0.461538462,1.529411765,0,0,0,1,0
DPABT,OPS69,-0.18556,-0.05394,3.5717,1.3009,2.8871,5.9631,0.4331,0.2867,0.3965,1.26,-0.5,1.510638298,0.484536082,0,0,0,1,1
PhPNZ,OPS70,-0.16899,-0.01766,3.9776,0.035,3.3033,1.17,0.2871,0.2755,0.2755,1.24,0.72,1.042105263,4.130434783,0,0,0,1,0
PhPTZ,OPS71,-0.16887,-0.02148,3.713,0.0109,3.1473,0.0881,0.153,0.1494,0.1728,1.14,0.65,1.024096386,4.611111111,0,0,0,1,0
ph_bPTZ,OPS72,-0.17426,-0.03323,3.7625,0.223,3.1359,4.7279,0.5016,0.4674,0.4902,1.43,0.31,1.073170732,1.607843137,0,0,0,1,7
9_10_DPA,OPS73,-0.1872,-0.05837,3.639,0.3496,2.3196,0,0.0553,0.0105,0.042,0.67,-0.46,5.266666667,0.245901639,0,0,0,1,0
9_10_DAA,OPS74,-0.18384,-0.05504,3.6356,0.3763,2.318,0,0.0546,0.0098,0.049,0.77,-0.49,5.571428571,0.222222222,0,0,0,1,0
perylene,OPS75,-0.18188,-0.06947,3.196,0.791,2.0783,0,0.0217,0.0063,0.0518,0.81,-0.64,3.444444444,0.123287671,0,0,0,1,0
9_10_DCA,OPS76,-0.22657,-0.1128,3.2747,0.3366,2.003,0,0.028,0.0049,0.0098,0.21,-0.53,5.714285714,0.116666667,0,0,0,1,0
3_5_diMePh_PDI,OPS77,-0.21763,-0.12449,2.7184,1.4659,1.7085,0.0002,0.0028,0.0042,0.0252,0.32,-0.97,0.666666667,0.03,0,0,0,1,0
Ph_NDI,OPS78,-0.25262,-0.1237,3.8271,0.7675,2.544,0,0.0651,0.0168,0.0063,0.16,-0.45,3.875,0.347826087,0,0,0,1,9
Me_TAPB,OPS79,-0.17326,-0.00888,4.3833,0.0682,3.4449,0.1387,0.2,0.198,0.174,1.07,0.72,1.01010101,3.666666667,0,0,0,1,0
Ph_TAPB,OPS80,-0.17898,-0.03176,3.9438,1.3806,3.285,0.3336,0.2156,0.2024,0.1738,1.01,-0.06,1.065217391,0.93877551,0,0,0,1,0
C_152,OPS81,-0.20751,-0.06891,3.7816,0.7682,2.6801,18.725,0.8277,0.2697,0.2232,1.17,-0.41,3.068965517,0.414285714,0,0,0,1,0
C_337,OPS82,-0.20649,-0.07692,3.5379,1.1187,2.4312,30.8698,0.65,0.21,0.27,1.27,-0.64,3.095238095,0.247058824,0,0,0,1,0
C_498,OPS83,-0.20665,-0.07117,3.6474,1.017,2.5708,27.8674,0.8019,0.2475,0.2574,1.25,-0.58,3.24,0.301204819,0,0,0,1,0
phenylfluorone,OPS84,-0.19595,-0.08429,3.3306,1.1776,1.9477,14.4592,0.4094,0.0534,0.4094,1.35,-0.84,7.666666667,0.066666667,0,0,0,1,0
resorufin,OPS85,-0.21805,-0.10521,3.2432,0.9273,1.911,2.7616,0.161,0.023,0.0782,0.63,-0.73,7,0.064102564,0,0,0,1,0
9_fluorenone,OPS86,-0.2289,-0.08221,3.3452,0,2.9589,1.9924,0.1786,0.2128,0.0456,0.5,0.5,0.839285714,9.333333333,0,0,0,1,2
9_10_phenanthrenequinone,OPS87,-0.24277,-0.10958,2.5098,0,2.113,0.4275,0.0025,0.03,0.0275,0.36,0.06,0.083333333,2,0,0,0,1,0
BTPM,OPS88,-0.24919,-0.07613,3.7116,0.0017,3.2585,0.6284,0.2352,0.252,0.028,0.38,0.74,0.933333333,5.625,0,0,0,1,0
2ClTX,OPS89,-0.22351,-0.0767,3.8152,0,3.1183,3.2004,0.4368,0.384,0.0768,0.64,0.74,1.1375,13.33333333,0,0,0,1,1
anthraquinone,OPS90,-0.25708,-0.10275,3.2605,0,2.885,0,0.0266,0.0322,0.0056,0.15,0.4,0.826086957,7.666666667,0,0,0,1,0
Me_bodipy,OPS91,-0.19705,-0.08487,3.0735,0.9376,1.7646,0.1994,0.0399,0.0084,0.0882,0.63,-0.76,4.75,0.05,0,0,0,1,0
Et_bodipy,OPS92,-0.19047,-0.08145,2.9757,0.965,1.6996,0.3584,0.0207,0.0046,0.1265,0.78,-0.8,4.5,0.024390244,0,0,0,1,0
CN_bodipy,OPS93,-0.20579,-0.11186,2.7287,0.9114,1.2362,1.7173,0.014,0.0035,0.1085,0.66,-0.76,4,0.012987013,0,0,0,1,0
TPP+,OPS94,-0.35572,-0.22919,3.3873,0.7073,2.6833,4.3244,0.28,0.168,0.0168,0.59,-0.38,1.666666667,0.441176471,0,0,0,1,1
Me_TPP+,OPS95,-0.33934,-0.21834,3.2455,0.7821,2.5927,4.0892,0.1908,0.1431,0.0212,0.57,-0.45,1.333333333,0.375,0,0,0,1,2
OMe_TPP+,OPS96,-0.31605,-0.20514,3.0209,0.7688,2.4265,8.9657,0.0825,0.1425,0.0525,0.82,-0.52,0.578947368,0.267605634,0,0,0,1,2
Acr+,OPS97,-0.37171,-0.24487,3.488,0.1372,2.3724,1.9438,0.2146,0.0666,0.0037,0.38,-0.19,3.222222222,0.486486486,0,0,0,1,2
Acr+_Ph,OPS98,-0.36065,-0.23429,3.444,0.1943,2.34,2.0593,0.2106,0.0663,0.0078,0.41,-0.29,3.176470588,0.369565217,0,0,0,1,2
Acr+_Mes,OPS99,-0.33825,-0.23168,3.0716,0.0001,2.3388,2.2735,0.0738,0.0656,0.0205,0.46,0.035,1.125,1.28,0,0,0,1,1
3_6_tBu_10_ph_Acr+_Mes,OPS100,-0.32707,-0.20915,3.2876,0,2.4683,6.2907,0.2706,0.1518,0.0396,0.72,0.17,1.782608696,3.833333333,0,0,0,1,2
